,...1,Participants,Grupo,University,Genre,Edad,Semester,Program,Specialization,Credibility,Coordination,Visual,Aural,Reader/Writer,Kinesthetic,Instrumental,Stra_Privilege,Stra_Appropriation,Expansive,Trend,VARK_Cs_Trend,Dc_Trend,Col_Trend
48,48,48,G16,U2C,2,23,7,B.D.Architecture,0.8,-0.0777202072538862,-0.732984293193717,-0.571969696969697,-0.0510638297872341,-1.25206611570248,-0.466666666666667,1.51851851851852,0.694444444444444,0.675324675324675,2.06122448979592,Aural,K/A,Expansive,Specialization
49,49,49,G16,U1E,2,37,7,B.D.Social-Sciences,-0.533333333333333,-0.33678756476684,-0.732984293193717,-0.193181818181818,-0.902127659574468,-1.66528925619835,0.961904761904762,-0.703703703703704,-0.385802469135802,0.675324675324675,0.020408163265306,Kinesthetic,K/A,Stra_Appropriation,Credibility
50,50,50,G17,U2C,1,23,7,B.D.Architecture,-0.0888888888888886,0.181347150259067,-1.51832460732984,0.564393939393939,1.65106382978723,0.400826446280992,1.91428571428571,-1.44444444444444,0.0771604938271605,-0.623376623376623,0.836734693877551,Kinesthetic,K/A,Expansive,Credibility
51,51,51,G17,U2C,2,22,8,B.D.Medicine,-1.64444444444444,-1.1139896373057,0.575916230366492,-0.571969696969697,-0.476595744680851,-0.838842975206612,0.00952380952380932,-1.07407407407407,0.848765432098765,0.155844155844156,1.6530612244898,Kinesthetic,K/A,Expansive,Coordination
52,52,52,G17,U2C,2,23,7,B.D.Architecture,-0.977777777777777,-1.1139896373057,-0.471204188481676,-1.32954545454545,0.374468085106383,-0.425619834710744,-0.466666666666667,-1.07407407407407,-1.31172839506173,-0.883116883116883,-0.795918367346939,Aural,K/A,Expansive,Coordination
53,53,53,G18,U2C,1,20,7,B.D.Architecture,1.02222222222222,1.73575129533679,1.09947643979058,0.185606060606061,0.374468085106383,-0.838842975206612,-1.41904761904762,-0.333333333333333,-0.231481481481481,-0.103896103896104,0.836734693877551,Aural,A/K/V,Expansive,Credibility
54,54,54,G18,U1E,2,29,7,B.D.Social-Sciences,1.46666666666667,0.440414507772021,1.8848167539267,-0.193181818181818,-2.17872340425532,-0.0123966942148761,0.00952380952380932,-0.888888888888889,0.0771604938271605,-0.363636363636364,-0.591836734693878,Kinesthetic,A/K/V,Stra_Privilege,Coordination
55,55,55,G18,U2C,2,20,7,B.D.Architecture,-0.755555555555555,-0.854922279792746,-0.471204188481676,-0.193181818181818,-0.0510638297872341,-1.25206611570248,0.00952380952380932,0.0370370370370369,0.540123456790123,-0.363636363636364,0.63265306122449,Kinesthetic,A/K/V,Expansive,Coordination
56,56,56,G18,U2C,2,23,7,B.D.Architecture,0.133333333333334,0.440414507772021,0.575916230366492,0.943181818181818,-0.0510638297872341,-0.0123966942148761,-0.942857142857143,1.7037037037037,1.31172839506173,1.71428571428571,-1,Visual,A/K/V,Stra_Appropriation,Coordination
57,57,57,G19,U1E,2,34,6,B.D.Early-Childhood-Pedagogy,-1.2,-0.854922279792746,-0.732984293193717,-0.950757575757576,0.374468085106383,-0.425619834710744,-1.41904761904762,1.51851851851852,1.31172839506173,1.71428571428571,0.836734693877551,Aural,A/V/RW,Stra_Appropriation,Coordination
58,58,58,G19,U1E,2,26,6,B.D.Early-Childhood-Pedagogy,-0.533333333333333,0.699481865284974,0.31413612565445,0.564393939393939,-0.0510638297872341,-0.838842975206612,0.00952380952380932,1.14814814814815,1.15740740740741,0.675324675324675,0.63265306122449,Visual,A/V/RW,Stra_Privilege,Credibility
59,59,59,G19,U1E,1,33,6,B.D.Social-Sciences,0.355555555555556,0.440414507772021,-0.471204188481676,-0.193181818181818,-1.7531914893617,-0.0123966942148761,-0.466666666666667,-0.703703703703704,-1.15740740740741,-0.623376623376623,-1.61224489795918,Reader/Writer,A/V/RW,Stra_Appropriation,Credibility
60,60,60,G20,U1E,2,29,6,B.D.Social-Sciences,-1.2,-1.1139896373057,-0.209424083769634,-0.950757575757576,0.8,-0.0123966942148761,0.485714285714285,0.962962962962963,0.0771604938271605,0.675324675324675,0.428571428571428,Aural,K/A,Instrumental,Coordination
61,61,61,G20,U1E,2,36,6,B.D.Social-Sciences,0.8,1.47668393782383,1.09947643979058,-0.571969696969697,-0.0510638297872341,-0.838842975206612,0.485714285714285,-1.07407407407407,-1.15740740740741,-0.623376623376623,-1,Kinesthetic,K/A,Stra_Appropriation,Credibility
62,62,62,G20,U2C,2,21,7,B.D.Architecture,0.8,0.181347150259067,0.0523560209424082,0.185606060606061,0.374468085106383,-0.425619834710744,0.00952380952380932,-0.148148148148148,0.0771604938271605,-0.883116883116883,-0.387755102040816,Aural,K/A,Stra_Privilege,Specialization
63,63,63,G21,U1E,1,42,6,B.D.Early-Childhood-Pedagogy,1.02222222222222,1.73575129533679,2.14659685863874,0.564393939393939,-0.476595744680851,-0.838842975206612,-1.8952380952381,-0.703703703703704,-1.15740740740741,-0.363636363636364,-0.795918367346939,Visual,V/A,Stra_Appropriation,Coordination
64,64,64,G21,U1E,2,31,6,B.D.Social-Sciences,-0.0888888888888886,-0.595854922279793,0.0523560209424082,0.943181818181818,-0.0510638297872341,-0.0123966942148761,-0.942857142857143,0.0370370370370369,0.540123456790123,-0.363636363636364,0.63265306122449,Visual,V/A,Expansive,Coordination
65,65,65,G21,U1E,2,28,6,B.D.Social-Sciences,-0.0888888888888886,0.440414507772021,0.575916230366492,-1.32954545454545,0.374468085106383,-0.425619834710744,-0.942857142857143,1.7037037037037,1.31172839506173,1.71428571428571,-1,Aural,V/A,Stra_Appropriation,Coordination
